# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalFlushes,1734991254681000000,1734991314775000000,69
Indexing.totalTimeIndexersSleptMs,1734991254681000000,1734991314775000000,31721
Indexes.allKeys.lookupDurationAvgMs,1734991254681000000,1734991314775000000,0.0
Indexes.stubs.lookupDuration90PMs,1734991254681000000,1734991314775000000,0.0
Indexing.cache.totalCacheMisses,1734991254681000000,1734991314775000000,606527
IndexesFlusher.totalContentionQuotaSpent,1734991254681000000,1734991314775000000,129
Indexes.entries.lookupDurationMaxMs,1734991254681000000,1734991314775000000,0.0
Indexes.allKeys.lookupDuration90PMs,1734991254681000000,1734991314775000000,0.0
Indexes.stubs.lookupDurationAvgMs,1734991254681000000,1734991314775000000,0.0
Indexes.entries.lookupDurationAvgMs,1734991254681000000,1734991314775000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1734991254681000000,1734991314775000000,5681
Indexing.cache.totalCacheEvicted,1734991254681000000,1734991314775000000,606269
Indexing.writer_1.totalTimeSpentWritingMs,1734991254681000000,1734991314775000000,3221
IndexesFlusher.totalFlushesRetried,1734991254681000000,1734991314775000000,3
Indexing.writer_2.totalTimeSpentWritingMs,1734991254681000000,1734991314775000000,442
Indexes.entries.lookups,1734991254681000000,1734991314775000000,15
IndexesFlusher.totalFlushingTimeUs,1734991254681000000,1734991314775000000,1570047
FlushQueue.queueSizeMax,1734991254681000000,1734991314775000000,0
FlushQueue.executionTime90PNs,1734991254681000000,1734991314775000000,0
AWTEventQueue.eventsDispatched,1734991254681000000,1734991314775000000,0
FlushQueue.queueSize90P,1734991254681000000,1734991314775000000,0
FlushQueue.executionTimeMaxNs,1734991254681000000,1734991314775000000,0
FlushQueue.tasksExecuted,1734991254681000000,1734991314775000000,0
FlushQueue.waitingTimeMaxNs,1734991254681000000,1734991314775000000,0
FlushQueue.executionTimeAvgNs,1734991254681000000,1734991314775000000,0.0
FlushQueue.waitingTime90PNs,1734991254681000000,1734991314775000000,0
WriteAction.executionsCount,1734991254681000000,1734991314775000000,43
NonBlockingReadAction.failedExecutionsCount,1734991254681000000,1734991314775000000,13
FlushQueue.queueSizeAvg,1734991254681000000,1734991314775000000,0.0
AWTEventQueue.dispatchTime90PNs,1734991254681000000,1734991314775000000,0
AWTEventQueue.dispatchTimeMaxNs,1734991254681000000,1734991314775000000,0
AWTEventQueue.dispatchTimeAvgNs,1734991254681000000,1734991314775000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1734991254681000000,1734991314775000000,136977
NonBlockingReadAction.finalizedExecutionTimeUs,1734991254681000000,1734991314775000000,417543
AWTEventQueue.dispatchTimeTotalNS,1734991254681000000,1734991314775000000,1443664212
NonBlockingReadAction.finalizedExecutionsCount,1734991254681000000,1734991314775000000,19
ReadAction.executionsCount,1734991254681000000,1734991314775000000,165051
FlushQueue.waitingTimeAvgNs,1734991254681000000,1734991314775000000,0.0
JVM.totalCpuTimeMs,1734991254681000000,1734991314775000000,103090
OS.loadAverage,1734991254681000000,1734991314775000000,1.69
JVM.totalTimeAtSafepointsMs,1734991254681000000,1734991314775000000,625
JVM.GC.collections,1734991254681000000,1734991314775000000,75
JVM.totalBytesAllocated,1734991254681000000,1734991314775000000,7231827472
JVM.totalTimeToSafepointsMs,1734991254681000000,1734991314775000000,66
JVM.totalSafepointCount,1734991254681000000,1734991314775000000,269
JVM.usedNativeBytes,1734991254681000000,1734991314775000000,314663024
JVM.maxHeapBytes,1734991254681000000,1734991314775000000,5700059136
JVM.threadCount,1734991254681000000,1734991314775000000,132
JVM.usedHeapBytes,1734991254681000000,1734991314775000000,401077456
JVM.totalDirectByteBuffersBytes,1734991254681000000,1734991314775000000,508331257
JVM.newThreadsCount,1734991254681000000,1734991314775000000,203
JVM.maxThreadCount,1734991254681000000,1734991314775000000,146
JVM.GC.collectionTimesMs,1734991254681000000,1734991314775000000,543
workspaceModel.update.unloaded.entities.ms,1734991254681000000,1734991314775000000,0
workspaceModel.on.before.changed.ms,1734991254681000000,1734991314775000000,61
workspaceModel.replace.project.model.ms,1734991254681000000,1734991314775000000,74
workspaceModel.init.bridges.ms,1734991254681000000,1734991314775000000,42
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1734991254681000000,1734991314775000000,83
workspaceModel.initializing.ms,1734991254681000000,1734991314775000000,35
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1734991254681000000,1734991314775000000,0
workspaceModel.workspaceFileIndexData.instances.count,1734991254681000000,1734991314775000000,1
workspaceModel.cachedValueWithParameters.from.cache.count,1734991254681000000,1734991314775000000,0
workspaceModel.full.replace.project.model.ms,1734991254681000000,1734991314775000000,3
workspaceModel.on.changed.ms,1734991254681000000,1734991314775000000,123
workspaceModel.to.snapshot.ms,1734991254681000000,1734991314775000000,1
workspaceModel.loading.total.ms,1734991254681000000,1734991314775000000,27
workspaceModel.cachedValue.calculated.count,1734991254681000000,1734991314775000000,58
workspaceModel.pre.handlers.ms,1734991254681000000,1734991314775000000,1
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1734991254681000000,1734991314775000000,4
workspaceModel.cachedValue.total.get.count,1734991254681000000,1734991314775000000,428
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1734991254681000000,1734991314775000000,0
workspaceModel.collect.changes.ms,1734991254681000000,1734991314775000000,0
workspaceModel.updates.precise.ms,1734991254681000000,1734991314775000000,3
workspaceModel.cachedValue.from.cache.count,1734991254681000000,1734991314775000000,370
workspaceModel.workspaceFileIndexData.processFileSets.ms,1734991254681000000,1734991314775000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1734991254681000000,1734991314775000000,0
workspaceModel.updates.ms,1734991254681000000,1734991314775000000,183
workspaceModel.cachedValueWithParameters.total.get.count,1734991254681000000,1734991314775000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1734991254681000000,1734991314775000000,30
workspaceModel.loading.from.cache.ms,1734991254681000000,1734991314775000000,21
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1734991254681000000,1734991314775000000,24
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1734991254681000000,1734991314775000000,24
workspaceModel.updates.count,1734991254681000000,1734991314775000000,5
workspaceModel.cachedValueWithParameters.calculated.count,1734991254681000000,1734991314775000000,0
workspaceModel.cachedValueWithParameters.clear.count,1734991254681000000,1734991314775000000,0
workspaceModel.cachedValue.clear.count,1734991254681000000,1734991314775000000,5
workspaceModel.workspaceFileIndexData.init.ms,1734991254681000000,1734991314775000000,2
workspaceModel.workspaceFileIndexData.markDirty.ms,1734991254681000000,1734991314775000000,0
workspaceModel.check.recursive.update.ms,1734991254681000000,1734991314775000000,1
cacheStateStorage.set.duration,1734991254681000000,1734991314775000000,39
cacheStateStorage.get.duration,1734991254681000000,1734991314775000000,0
cacheStateStorage.set.counter,1734991254681000000,1734991314775000000,3
cacheStateStorage.get.counter,1734991254681000000,1734991314775000000,19
jps.app.storage.content.reader.load.component.ms,1734991314775000000,1734991341536000000,0
jps.global.initialize.library.bridges.ms,1734991314775000000,1734991341536000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1734991314775000000,1734991341536000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1734991314775000000,1734991341536000000,0
workspaceModel.moduleBridge.before.changed.ms,1734991314775000000,1734991341536000000,0
workspaceModel.global.apply.state.to.project.ms,1734991314775000000,1734991341536000000,0
jps.storage.jps.conf.reader.load.component.ms,1734991314775000000,1734991341536000000,0
workspaceModel.orphan.listener.update.ms,1734991314775000000,1734991341536000000,0
jps.global.handle.before.change.events.ms,1734991314775000000,1734991341536000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1734991314775000000,1734991341536000000,0
jps.global.get.libraries.ms,1734991314775000000,1734991341536000000,2
workspaceModel.mutableEntityStorage.entities.by.source.ms,1734991314775000000,1734991341536000000,0
workspaceModel.mutableEntityStorage.entities.ms,1734991314775000000,1734991341536000000,0
